"table_name","column_name","data_type"
"category_group_rights","id","int"
"category_group_rights","cat_id","int"
"category_group_rights","group_id","int"
"category_group_rights","right_id","int"
"groups","group_id","int"
"groups","group_name","varchar"
"medactor","actor_id","bigint"
"medactor","actor_user","int"
"medactor","actor_name","varbinary"
"medarchive","ar_id","int"
"medarchive","ar_namespace","int"
"medarchive","ar_title","varbinary"
"medarchive","ar_comment_id","bigint"
"medarchive","ar_actor","bigint"
"medarchive","ar_timestamp","binary"
"medarchive","ar_minor_edit","tinyint"
"medarchive","ar_rev_id","int"
"medarchive","ar_deleted","tinyint"
"medarchive","ar_len","int"
"medarchive","ar_page_id","int"
"medarchive","ar_parent_id","int"
"medarchive","ar_sha1","varbinary"
"medblock","bl_id","int"
"medblock","bl_target","int"
"medblock","bl_by_actor","bigint"
"medblock","bl_reason_id","bigint"
"medblock","bl_timestamp","binary"
"medblock","bl_anon_only","tinyint"
"medblock","bl_create_account","tinyint"
"medblock","bl_enable_autoblock","tinyint"
"medblock","bl_expiry","varbinary"
"medblock","bl_deleted","tinyint"
"medblock","bl_block_email","tinyint"
"medblock","bl_allow_usertalk","tinyint"
"medblock","bl_parent_block_id","int"
"medblock","bl_sitewide","tinyint"
"medblock_target","bt_id","int"
"medblock_target","bt_address","tinyblob"
"medblock_target","bt_user","int"
"medblock_target","bt_user_text","varbinary"
"medblock_target","bt_auto","tinyint"
"medblock_target","bt_range_start","tinyblob"
"medblock_target","bt_range_end","tinyblob"
"medblock_target","bt_ip_hex","tinyblob"
"medblock_target","bt_count","int"
"medbot_passwords","bp_user","int"
"medbot_passwords","bp_app_id","varbinary"
"medbot_passwords","bp_password","tinyblob"
"medbot_passwords","bp_token","binary"
"medbot_passwords","bp_restrictions","blob"
"medbot_passwords","bp_grants","blob"
"medcategory","cat_id","int"
"medcategory","parent_id","int"
"medcategory","cat_title","varbinary"
"medcategory","cat_pages","int"
"medcategory","cat_subcats","int"
"medcategory","cat_files","int"
"medcategorylinks","cl_from","int"
"medcategorylinks","cl_target_id","bigint"
"medcategorylinks","cl_to","varbinary"
"medcategorylinks","cl_sortkey","varbinary"
"medcategorylinks","cl_sortkey_prefix","varbinary"
"medcategorylinks","cl_timestamp","timestamp"
"medcategorylinks","cl_collation","varbinary"
"medcategorylinks","cl_type","enum"
"medcategorylinks","cl_collation_id","smallint"
"medchange_tag","ct_id","int"
"medchange_tag","ct_rc_id","bigint"
"medchange_tag","ct_log_id","int"
"medchange_tag","ct_rev_id","int"
"medchange_tag","ct_params","blob"
"medchange_tag","ct_tag_id","int"
"medchange_tag_def","ctd_id","int"
"medchange_tag_def","ctd_name","varbinary"
"medchange_tag_def","ctd_user_defined","tinyint"
"medchange_tag_def","ctd_count","bigint"
"medcollation","collation_id","smallint"
"medcollation","collation_name","varbinary"
"medcomment","comment_id","bigint"
"medcomment","comment_hash","int"
"medcomment","comment_text","blob"
"medcomment","comment_data","blob"
"medcontent","content_id","bigint"
"medcontent","content_size","int"
"medcontent","content_sha1","varbinary"
"medcontent","content_model","smallint"
"medcontent","content_address","varbinary"
"medcontent_models","model_id","int"
"medcontent_models","model_name","varbinary"
"medexistencelinks","exl_from","int"
"medexistencelinks","exl_target_id","bigint"
"medexternallinks","el_id","int"
"medexternallinks","el_from","int"
"medexternallinks","el_to_domain_index","varbinary"
"medexternallinks","el_to_path","blob"
"medfile","file_id","bigint"
"medfile","file_name","varbinary"
"medfile","file_latest","bigint"
"medfile","file_type","smallint"
"medfile","file_deleted","smallint"
"medfilearchive","fa_id","int"
"medfilearchive","fa_name","varbinary"
"medfilearchive","fa_archive_name","varbinary"
"medfilearchive","fa_storage_group","varbinary"
"medfilearchive","fa_storage_key","varbinary"
"medfilearchive","fa_deleted_user","int"
"medfilearchive","fa_deleted_timestamp","binary"
"medfilearchive","fa_deleted_reason_id","bigint"
"medfilearchive","fa_size","bigint"
"medfilearchive","fa_width","int"
"medfilearchive","fa_height","int"
"medfilearchive","fa_metadata","mediumblob"
"medfilearchive","fa_bits","int"
"medfilearchive","fa_media_type","enum"
"medfilearchive","fa_major_mime","enum"
"medfilearchive","fa_minor_mime","varbinary"
"medfilearchive","fa_description_id","bigint"
"medfilearchive","fa_actor","bigint"
"medfilearchive","fa_timestamp","binary"
"medfilearchive","fa_deleted","tinyint"
"medfilearchive","fa_sha1","varbinary"
"medfilerevision","fr_id","bigint"
"medfilerevision","fr_file","bigint"
"medfilerevision","fr_size","bigint"
"medfilerevision","fr_width","int"
"medfilerevision","fr_height","int"
"medfilerevision","fr_metadata","mediumblob"
"medfilerevision","fr_bits","int"
"medfilerevision","fr_description_id","bigint"
"medfilerevision","fr_actor","bigint"
"medfilerevision","fr_timestamp","binary"
"medfilerevision","fr_sha1","varbinary"
"medfilerevision","fr_archive_name","varbinary"
"medfilerevision","fr_deleted","smallint"
"medfiletypes","ft_id","smallint"
"medfiletypes","ft_media_type","varbinary"
"medfiletypes","ft_major_mime","varbinary"
"medfiletypes","ft_minor_mime","varbinary"
"medimage","img_name","varbinary"
"medimage","img_size","bigint"
"medimage","img_width","int"
"medimage","img_height","int"
"medimage","img_metadata","mediumblob"
"medimage","img_bits","int"
"medimage","img_media_type","enum"
"medimage","img_major_mime","enum"
"medimage","img_minor_mime","varbinary"
"medimage","img_description_id","bigint"
"medimage","img_actor","bigint"
"medimage","img_timestamp","binary"
"medimage","img_sha1","varbinary"
"medimagelinks","il_from","int"
"medimagelinks","il_to","varbinary"
"medimagelinks","il_from_namespace","int"
"medinterwiki","iw_prefix","varbinary"
